STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),isco08,International Standard Classification of Occupations 2008 (ISCO-08),worktime,Working time,age,Age class,sex,Sex,indic_se,Structure of earnings indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EARN_SES_MONTHLY(1.0),Structure of earnings survey - monthly earnings,A,Annual,B-F,Industry and construction,TOTAL,Total,TOTAL,Total,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,AL,Albania,2018,,345,,,,,
dataflow,ESTAT:EARN_SES_MONTHLY(1.0),Structure of earnings survey - monthly earnings,A,Annual,B-F,Industry and construction,TOTAL,Total,TOTAL,Total,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,AT,Austria,2002,,2185,,,,,
dataflow,ESTAT:EARN_SES_MONTHLY(1.0),Structure of earnings survey - monthly earnings,A,Annual,B-F,Industry and construction,TOTAL,Total,TOTAL,Total,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,AT,Austria,2006,,2389,,,,,
dataflow,ESTAT:EARN_SES_MONTHLY(1.0),Structure of earnings survey - monthly earnings,A,Annual,B-F,Industry and construction,TOTAL,Total,TOTAL,Total,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,AT,Austria,2010,,2604,,,,,
dataflow,ESTAT:EARN_SES_MONTHLY(1.0),Structure of earnings survey - monthly earnings,A,Annual,B-F,Industry and construction,TOTAL,Total,TOTAL,Total,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,AT,Austria,2014,,2898,,,,,
dataflow,ESTAT:EARN_SES_MONTHLY(1.0),Structure of earnings survey - monthly earnings,A,Annual,B-F,Industry and construction,TOTAL,Total,TOTAL,Total,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,AT,Austria,2018,,3317,,,,,
dataflow,ESTAT:EARN_SES_MONTHLY(1.0),Structure of earnings survey - monthly earnings,A,Annual,B-F,Industry and construction,TOTAL,Total,TOTAL,Total,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,BE,Belgium,2002,,2447,,,,,
dataflow,ESTAT:EARN_SES_MONTHLY(1.0),Structure of earnings survey - monthly earnings,A,Annual,B-F,Industry and construction,TOTAL,Total,TOTAL,Total,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,BE,Belgium,2006,,2657,,,,,
dataflow,ESTAT:EARN_SES_MONTHLY(1.0),Structure of earnings survey - monthly earnings,A,Annual,B-F,Industry and construction,TOTAL,Total,TOTAL,Total,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,BE,Belgium,2010,,2982,,,,,
dataflow,ESTAT:EARN_SES_MONTHLY(1.0),Structure of earnings survey - monthly earnings,A,Annual,B-F,Industry and construction,TOTAL,Total,TOTAL,Total,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,BE,Belgium,2014,,3318,,,,,
dataflow,ESTAT:EARN_SES_MONTHLY(1.0),Structure of earnings survey - monthly earnings,A,Annual,B-F,Industry and construction,TOTAL,Total,TOTAL,Total,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,BE,Belgium,2018,,3650,,,,,
